Date,Open,High,Low,Close,Volume
2025-06-04,202.91,206.24,202.1,202.82,43603985
2025-06-05,203.5,204.75,200.15,200.63,55221235
2025-06-06,203.0,205.7,202.05,203.92,46607693
2025-06-09,204.39,206.0,200.02,201.45,72862557
2025-06-10,200.6,204.35,200.57,202.67,54672608
2025-06-11,203.5,204.5,198.41,198.78,60989857
2025-06-12,199.08,199.68,197.36,199.2,43904635
2025-06-13,199.73,200.37,195.7,196.45,51447349
2025-06-16,197.3,198.69,196.56,198.42,43020691
2025-06-17,197.2,198.39,195.21,195.64,38856152
2025-06-18,195.94,197.57,195.07,196.58,45394689
2025-06-20,198.24,201.7,196.86,201.0,96813542
2025-06-23,201.63,202.3,198.96,201.5,55814272
2025-06-24,202.59,203.44,200.2,200.3,54064033
2025-06-25,201.45,203.67,200.62,201.56,39525730
2025-06-26,201.43,202.64,199.46,201.0,50799121
2025-06-27,201.89,203.22,200.0,201.08,73188571
2025-06-30,202.01,207.39,199.26,205.17,91912816
2025-07-01,206.67,210.19,206.14,207.82,78788867
2025-07-02,208.91,213.34,208.14,212.44,67941811
2025-07-03,212.15,214.65,211.81,213.55,34954599
2025-07-07,212.68,216.23,208.8,209.95,50228984
2025-07-08,210.1,211.43,208.45,210.01,42848928
2025-07-09,209.53,211.33,207.22,211.14,48749367
2025-07-10,210.51,213.48,210.03,212.41,44443635
2025-07-11,210.57,212.13,209.86,211.16,39765812
2025-07-14,209.93,210.91,207.54,208.62,38840111
2025-07-15,209.22,211.89,208.92,209.11,42296339
2025-07-16,210.3,212.4,208.64,210.16,47490532
2025-07-17,210.57,211.8,209.59,210.02,48068141
2025-07-18,210.87,211.79,209.7,211.18,48974591
2025-07-21,212.1,215.78,211.63,212.48,51377434
2025-07-22,213.14,214.95,212.23,214.4,46404072
2025-07-23,215.0,215.15,212.41,214.15,46989301
2025-07-24,213.9,215.69,213.53,213.76,46022620
2025-07-25,214.7,215.24,213.4,213.88,40268781
2025-07-28,214.03,214.85,213.06,214.05,37858017
2025-07-29,214.18,214.81,210.82,211.27,51411723
2025-07-30,211.9,212.39,207.72,209.05,45512514
2025-07-31,208.49,209.84,207.16,207.57,80698431
2025-08-01,210.87,213.58,201.5,202.38,104434473
2025-08-04,204.51,207.88,201.68,203.35,75109298
2025-08-05,203.4,205.34,202.16,202.92,44155079
2025-08-06,205.63,215.38,205.59,213.25,108483103
2025-08-07,218.88,220.85,216.58,220.03,90224834
2025-08-08,220.83,231.0,219.25,229.35,113853967
2025-08-11,227.92,229.56,224.76,227.18,61806132
2025-08-12,228.01,230.8,227.07,229.65,55672301
2025-08-13,231.07,235.0,230.43,233.33,69878546
2025-08-14,234.06,235.12,230.85,232.78,51916275
2025-08-15,234.0,234.28,229.34,231.59,56038657
2025-08-18,231.7,233.12,230.11,230.89,37476188
2025-08-19,231.28,232.87,229.35,230.56,39402564
2025-08-20,229.98,230.47,225.77,226.01,42263865
2025-08-21,226.27,226.52,223.78,224.9,30621249
2025-08-22,226.17,229.09,225.41,227.76,42477811
2025-08-25,226.48,229.3,226.23,227.16,30983133
2025-08-26,226.87,229.49,224.69,229.31,54575107
2025-08-27,228.61,230.9,228.26,230.49,31259513
2025-08-28,230.82,233.41,229.34,232.56,38074700
2025-08-29,232.51,233.38,231.37,232.14,39418437
2025-09-02,229.25,230.85,226.97,229.72,44075638
2025-09-03,237.21,238.85,234.36,238.47,66427835
2025-09-04,238.45,239.9,236.74,239.78,47549429
2025-09-05,240.0,241.32,238.49,239.69,54870397
2025-09-08,239.3,240.15,236.34,237.88,48999495
2025-09-09,237.0,238.78,233.36,234.35,66313918
2025-09-10,232.19,232.42,225.95,226.79,83440810
2025-09-11,226.88,230.45,226.65,230.03,50208578
2025-09-12,229.22,234.51,229.02,234.07,55824216
2025-09-15,237.0,238.19,235.03,236.7,42699524
2025-09-16,237.18,241.22,236.32,238.15,63421099
2025-09-17,238.97,240.1,237.73,238.99,46508017
2025-09-18,239.97,241.2,236.65,237.88,44249576
2025-09-19,241.23,246.3,240.21,245.5,163741314
2025-09-22,248.3,256.64,248.12,256.08,105517416
2025-09-23,255.88,257.34,253.58,254.43,60275187
2025-09-24,255.22,255.74,251.04,252.31,42303710
2025-09-25,253.21,257.17,251.71,256.87,55202075
2025-09-26,254.1,257.6,253.78,255.46,46076258
2025-09-29,254.56,255.0,253.01,254.43,40127687
2025-09-30,254.86,255.92,253.11,254.63,37704259
2025-10-01,255.04,258.79,254.93,255.45,48713940
2025-10-02,256.58,258.18,254.15,257.13,42630239
2025-10-03,254.67,259.24,253.95,258.02,49155614
2025-10-06,257.99,259.07,255.05,256.69,44664118
2025-10-07,256.81,257.4,255.43,256.48,31955776
2025-10-08,256.52,258.52,256.11,258.06,36496895
2025-10-09,257.81,258.0,253.14,254.04,38322012
2025-10-10,254.94,256.38,244.0,245.27,61999098
2025-10-13,249.38,249.69,245.56,247.66,38142942
2025-10-14,246.6,248.85,244.7,247.77,35477986
2025-10-15,249.49,251.82,247.47,249.34,33893611
2025-10-16,248.25,249.04,245.13,247.45,39776974
2025-10-17,248.02,253.38,247.27,252.29,49146961
2025-10-20,255.89,264.38,255.63,262.24,90483029
2025-10-21,261.88,265.29,261.83,262.77,46695748
2025-10-22,262.65,262.85,255.43,258.45,45011970
2025-10-23,259.94,260.62,258.01,259.58,32752139
2025-10-24,261.19,264.13,259.18,262.82,38253517
2025-10-27,264.88,269.12,264.65,268.81,44888052
2025-10-28,268.99,269.89,268.15,269.0,41534547
2025-10-29,269.28,271.41,267.11,269.7,51086742
2025-10-30,271.99,274.14,268.48,271.4,69886281
2025-10-31,276.99,277.32,269.16,270.37,86167123
2025-11-03,270.42,270.85,266.25,269.05,50194063
2025-11-04,268.33,271.49,267.62,270.04,49271745
2025-11-05,268.61,271.7,266.93,270.14,43682972
2025-11-06,267.89,273.4,267.89,269.77,51203925
2025-11-07,269.8,272.29,266.77,268.47,48227365
2025-11-10,268.96,273.73,267.46,269.43,41312312
2025-11-11,269.81,275.91,269.8,275.25,46201578
2025-11-12,275.0,275.73,271.7,273.47,48395767
2025-11-13,274.11,276.7,272.09,272.95,49602794
2025-11-14,271.05,275.96,269.6,272.41,47431201
2025-11-17,268.82,270.49,265.73,267.46,44958759
2025-11-18,269.99,270.71,265.32,267.44,45677270
2025-11-19,265.53,272.21,265.5,268.56,40334193
2025-11-20,270.83,275.43,265.92,266.25,45728132
2025-11-21,265.95,273.33,265.67,271.49,58923249
2025-11-24,270.9,277.0,270.9,275.92,65497571
2025-11-25,275.27,280.38,275.25,276.97,46824959
2025-11-26,276.96,279.53,276.63,277.55,33373748
2025-11-28,277.26,279.0,275.99,278.85,20100859
2025-12-01,278.01,283.42,276.14,283.1,46517247
2025-12-02,283.0,287.4,282.63,286.19,53605388
2025-12-03,286.2,288.62,283.3,284.15,43511522
2025-12-04,284.1,284.73,278.59,280.7,43952485
2025-12-05,280.54,281.14,278.05,278.78,47255069
2025-12-08,278.13,279.67,276.15,277.89,38186003
2025-12-09,278.16,280.03,276.92,277.18,32153772
2025-12-10,277.75,279.75,276.44,278.78,33038108
2025-12-11,279.1,279.59,273.81,278.03,33184801
2025-12-12,277.9,279.22,276.82,278.28,39532644
2025-12-15,280.15,280.15,272.84,274.11,50409068
2025-12-16,272.82,275.5,271.79,274.61,37648586
2025-12-17,275.01,276.16,271.64,271.84,50138543
2025-12-18,273.61,273.63,266.95,272.19,51630281
2025-12-19,272.15,274.6,269.9,273.67,144567713
2025-12-22,272.86,273.88,270.51,270.97,36508230
2025-12-23,270.84,272.5,269.56,272.36,29593863
2025-12-24,272.34,275.43,272.2,273.81,17892225
2025-12-26,274.16,275.37,272.86,273.4,21461047
2025-12-29,272.69,274.36,272.35,273.76,23676257
2025-12-30,272.81,274.08,272.28,273.08,22109594
2025-12-31,273.06,273.68,271.75,271.86,27258206
2026-01-02,272.26,277.84,269.0,271.01,37782525
2026-01-05,270.64,271.51,266.14,267.26,45633196
2026-01-06,267.0,267.55,262.12,262.36,52260948
2026-01-07,263.2,263.68,259.81,260.33,48226901
2026-01-08,257.02,259.29,255.7,259.04,50415333
2026-01-09,259.08,260.21,256.22,259.37,39654348
2026-01-12,259.16,261.3,256.8,260.25,45152883
2026-01-13,258.72,261.81,258.39,261.05,45601262
2026-01-14,259.49,261.82,256.71,259.96,39934470
2026-01-15,260.65,261.04,257.05,258.21,39322613
2026-01-16,257.9,258.9,254.93,255.53,72064044
2026-01-20,252.73,254.79,243.42,246.7,80110363
2026-01-21,248.7,251.56,245.18,247.65,54933217
2026-01-22,249.2,251.0,248.15,248.35,39706430
2026-01-23,247.32,249.41,244.68,248.04,41737195
2026-01-26,251.48,256.56,249.8,255.41,55969056
2026-01-27,259.17,261.95,258.21,258.27,49648077
2026-01-28,257.65,258.86,254.51,256.44,41414623
